一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
深度行	深度旅行
正斗	正規
佢件蛋糕大過我嗰件咁多嘅？大細超喎。	為什麼她得到的蛋糕比我多？ 太不公平了！
邊個會幫你派帖啊？	誰來幫你送你的婚宴請柬？
澳洲好熱？幾時啊？	澳大利亞很熱？什麼時候啊？
家庭式農場嘅消失是其中一環 就好似從真正社區沒落 到夏天都難搵一個靚蕃茄咁 都係影響嘅一部份	而家庭式農場的末落只是其中的一部分 因為幾乎所有 從實際消亡的社區 到夏天為找尋美好的番茄而遇到的困難
表姐放學去左半山區羅便臣道公園打韆鞦	表姐放學去半山區羅便臣道公園盪鞦韆
普寧豆醬	普寧豆瓣醬
你一定唔可以死。	你不能死。
佢改變咗我哋起樓嘅規模 我哋研發出一個叫 FFTT 嘅嘢 佢係一個開放部分使用權嘅產品 可以用嚟起各式各樣嘅建築 我哋可以用呢啲大型木建材板 每次最多起六層樓	它改變了我們可以創造的規模 ， 我們研發了一種叫 FFTT 的東西 ， 是一種共享創意的方法 ， 我們用它來建造彈性很大的建築系統 ， 我們可以隨心所欲 ， 用這個巨型合板 一口氣建造出六層樓高的建築 。
吓？公司喎？快啊。嗰個專線來𡃉公司嗰個。	啊？公司啦？快啊。那個專線來贏公司那個。
有眼睇	有眼睇的
兒	兒
住村屋會僭建有咩咁出奇？	住在村屋裡的人擅自建房也就不足為奇了。
2018年10月16號11點58分，司馬義·艾買提喺北京病死，享年83歲。	2018年10月16日11時58分因病在北京逝世，享年83歲。
於是乎	所以
王冠係西洋文化入面國王同王族戴上頭頂嘅頭飾，代表王權。而王后戴嘅又叫后冠	王冠是西洋文化裏國王和王族戴上頭頂的頭飾，代表王權。而王后戴的又叫后冠
佢梗得啦，有人幫佢噃！	他當然行啦，有人幫他嘛！
班咗好多人嚟想鬧事	糾集了很多人來想鬧事
維護司法獨立	維護司法獨立
你個衰人係咪嫌命長吖！	你這個壞蛋，是不是活得不耐煩啦！
西瓜雪過先好食	西瓜冰鎮了才好吃
《普京正柒頭》係一句針對俄羅斯總統普京嘅粗口，同時亦都係一首歌。呢首歌嚟自夏爾奇夫米達列斯足球會球迷喺2010年寫嘅一首球場歌。因為2014年克里米亞危機，呢首歌喺烏克蘭國內好多地方流傳，並獲得好多國際媒體報道。	《普京是個傻子》，或普京是白癡，是針對俄羅斯領導人弗拉基米爾·普京的一句髒話，同時也代表一首歌曲，這首歌源自哈爾科夫冶金隊球迷在2010年創作的另一首球場歌曲。自2014年上半年俄羅斯介入克里米亞事務後這首歌在烏克蘭國內多地傳唱，相關消息也爲許多國際媒體所報道。
天理循環	神的報應
好核突。	好惡心。
我舅父住喺銅鑼灣栢景臺	我舅舅住在銅鑼灣栢景臺
打機	玩遊戲
上台攞獎	上台頒獎
啲鸚鵡啊，了哥嗰啲噉樣，喀。	一些鸚鵡啊，親哥那些這樣，喀。
時候唔夠	時間不夠
我阿嫲喺曼徹斯特出世 曼徹斯特係嗰時 全世界第九大城市	所以那時只有 12 個城市 她在曼徹斯特出生 當時的世界第九大都市
信耶穌，係咪就可以得到永生？	相信耶穌會給你永生嗎？
舊時啲細路仔好鍾意玩捉伊人。	過去孩子們很喜歡玩捉迷藏。
以偏概全	以偏概全、過於一般化地看待問題
個展覽場地都幾開揚。	這個展覽空間相當開闊。
而家啲石油越來越近岸邊 ， 睇吓呢兩隻船	就這樣讓油汙漸漸往海岸靠近 。 看畫面中的這二艘船 。
你直行，去到第二個路口轉右，就見到間舖頭㗎喇。	直走，在第二個路口右轉，然後你就會看到這家商店。
有三件蛋糕	一共有三塊蛋糕
我嬲死你！	我真的很討厭你！
要寫份proposal先吸引到投資者投資你間startup。	您需要一份提案來吸引投資者投資您的初創企業。
我成日去做運動好健康咖。好似係。	我每天鍛煉身體，我真的很健康。 嗯，似乎是對的。
我哋去日本旅行時，趁機會一邊浸溫泉，一邊睇紅葉。	我們在日本旅遊的時候，趁機泡了溫泉，看著紅葉。
就算大佬查出唔到，咪求其搵個替死鬼孭鑊就得囉！	就算老大查不出來到底是怎麼回事，那我們隨便找個替罪羊背鍋就好了！
「 摞住個標誌 ， 放喺旁邊 。 」	「 這是你的標誌 ， 放在兩邊 。 」
法庭判佢哋嘅合約無效。	法院判決他們的合同無效。
噉有啲人就話questionmark喎打個，佢就話，即係等於意思話：「有冇搞錯？我哋而家-即係大學生畢業𡃉，出咁低人工？」噉樣喎。	有些人就說questionmark打個，他就說，就是等於意思說：「有沒有搞錯？我們現在-就是大學生畢業，出這麼低工資？」這樣。
交通燈號要遵守。	我們必須跟著紅綠燈。
受益者又係邊個呢 ？	它是對誰無障礙 ？
蕎頭	薤菜頭
下邊	下邊
其中 97.5 % 係鹹水 2 % 係冰 我哋喺度爭地球上 0.5 % 嘅水	其中 97.5 % 是鹹水 2 % 是冰 我們為了地球上一半的水在爭吵 天無絕人之路
日本人好鍾意浸浴。	日本人愛洗澡。
牛仔	小牛
今年再唔加人工，我就劈炮唔撈。	如果今年你還不給我加薪，我就辭職。
西芹炒班片	西芹炒班片
四萬兩千幾	42000的東西
神經科醫生喺 2012 年幫我診症嘅時候 佢完全跟隨緊佛洛伊德嘅說話 今時今日 女性被診斷呢個病嘅機會 比男性多 2-10 倍	我的神經科醫師 在 2012 年給我那個診斷 ， 他逐字使用弗洛伊德的話 ， 目前仍然如此 。 婦女得到這個診斷的比率 是男人的 2 到 10 倍 。
根據指引 你哋喺傳奇級大師 ， 所以恭喜你哋 ！	根據規則 你們是傳奇大師 ， 恭喜
衫尾	衣襬
有心機	有耐心
舋尾	靠後
快啲交換啦，交換啦！	交換看！
講假話	說謊
嘩！我都成個月喇，真係可憐嚹。	哇！我也整個月了，真可憐嫋。
賊人用偷返嚟張卡買金，點知簽名唔對穿咗崩，於是落荒而逃。	小偷想用偷來的卡片買金幣，但他的無敵簽名讓他放棄了，只好逃跑。
我告訴她別擔心	我告訴她別擔心
當一個同事忙於即時傳譯 另一個就要做支援 負責搵文件 、 查字 、 搵相關資料	當其中一人忙著即時翻譯演說時 ， 另一位會提供支援 ， 像找尋文件 、 查單字 和搜尋參考資訊 。
嘩！佢咁去摸人仲唔係搏大霧？	哇！ 他那樣撫摸她，他是在佔她的便宜還是什麼？
翻身	翻身
即係話佢𠻺好少例子。	就是說他嘮很少例子。
佢係提倡國家改革嘅先行者。	他是國家改革的先驅倡導者。
紓困措施	救濟措施
係咁大	完蛋了
呢本書我哋可以兩份睇。	這本書可以由我們兩人分享。
絕地反擊	冒著風險反擊
你哋快啲啦!太爺佢哋而家喺大窩口站等緊你哋	你們快點吧！太爺他們現在在大窩口站在等你們
你點解唔得閒唧！	你為什麼沒空？
佢話 ： 「 你唔再係我嘅仔喇 ！ 」	他說 ： “ 我再也不把你當兒子了 。 ”
生埃	氰化物
認真冇得揮	確實沒有揮的
我哋嘅模型用上成千上萬個 超級電腦嘅櫃 每個負責計算幾百個 以一分鐘為單位嘅變量	模型裡有上千個網格在運算 每分鐘能運算上百筆數據
唔該快啲	請快點兒
兩兄弟嘅脾性爭天共地。	兩個兄弟的脾氣完全不同。
喺個山崖度跌落去肯定會粉身碎骨。	如果我們從懸崖上掉下來，我們的身體肯定會粉身碎骨。
雞肉金平炊飯	雞肉金平炊飯
份工人工咁奀，你撈埋我嗰份嘞。	這份工作工資這麼低，我怎麼都不干。
全沒有昨天這麼怕，	都沒有昨天這麼怕，
光復香港時代革命	光復香港時代革命
中國有好多鬼神傳説。	中國有豐富的鬼神故事。
對於今次表演我冇咩揸拿喎。	我對自己這次的表現沒有太大的信心。
共享經濟	共享經濟
唔好喊！	別哭！
噉你…	那你。。。
成箱乜乜物物，多到死	整箱子拉拉雜雜的東西，太多了
岋下岋下	搖搖晃晃
設計影響我 ， 無論係凳 廁所 ， 咖啡店 ， 亦或買衫 我依靠 生普人嘅善意	雖然設計影響著我 ， 無論座椅 、 洗手間 、 咖啡店或衣服 ， 我依靠著陌生人的善心而獲益不少 。
碎銀	散銀
老友唔記得去元朗牡丹徑參加緩步跑練習	老兄忘記去元朗牡丹徑參加緩步跑練習
有鯊魚你都敢落水，真係好膽！	面對鯊魚，你還敢下水，膽子真大！
呢個西班牙嘅社區 決定推出一項國際倡議 喺世界各地創立多啲類似嘅社區 方法包括同工會聯手 支持LUCI 咁樣嘅組織 同埋畀更多人認識工人所有制	這個西班牙社群決定要推出 全球性的創始會員活動 ， 以在全世界創造出更多 像它這樣的社區 ， 做法包括與聯合會做連結 、 支持像 LUCI 這類的組織 、 以及教導人們認識 「 勞動者所有權 」 的公司模式 。
我發現 ， 你年紀越大 ， 離婚嘅可能性就越低	結果是年紀愈大 ， 離婚可能性愈低 。
拉雜	雜亂
啲雀鳥係靠潛落水底搵食物	因為這些鳥類為了生存 ， 必須潛到水下覓食 ，
豬腰	豬腰子
單料	單薄
俾人用好似開場講嘅嗰啲說話 鬧到隻狗咁	我每天都見到這些留言 ， 無論是在推特或是臉書上 。
佢留咗長頭髮成個靚晒。	留長發後，她看起來非常漂亮。
噉樣做	這樣做
乜都夠膽死	在許多方面都非常大膽
我本身中一至中五喺一間band one女校讀書⠀	我本身中一至中五在一間band one女校讀書⠀
我行近棵杉樹 ， 將部機擺近啲葉度 不出我所料 一啲聲音都冇	我走到柏樹那裡 ， 我用蓋革計數器檢測它的葉子 ， 正如我猜測的那樣 ， 毫無聲音 。
得㗎啦，我知點做	行了，我知道怎麼做
我做的第一件事就係搵一疊聖經 。	首先 ， 我找到一堆聖經 。
香港軍裝警察標準配備嘅左輪可以上六發子彈。	香港警隊標準配備的手槍是一把裝有六發子彈的左輪手槍。
信唔係咁樣 佢係講感覺	並不是這樣的 ， 這是一種感覺 。
仲有好多其他令民眾擔憂嘅問題 系互聯網上熱議 。	還有很有其它讓民衆擔憂的問題 在互聯網上受到了強烈議論 .
噉我覺得係非常之標準囖。	我覺得是非常的標準。
禿鷹喺水牛嘅死屍上面盤旋。	禿鷹在水牛的屍體上盤旋。
我哋公司嘅護膚品全部都係由花草樹木提煉出嚟。	我們的護膚品全部由植物製成。
我頭先幫呢個亞叔落口供	我剛才給這位大叔記錄口供
咁鬼難頂𠸏。	這麼難熬嫋。
呢單工程又超支又難搞，做咗社會又無得益，真係邊個執到都喊三聲。	這個建設項目超預算難辦，建成後對社會沒有好處，誰接了都要哭三聲。
識落又唔多覺，呵？望落去呢，唔識呢，就好似好串噉樣。就大家都唔係幾-唔合眼緣。跟住呢，ei1，你識邊個邊個。哎吔原來識咗之後呢發覺幾正喎。	會丟又不多覺，呵？望下去呢，不懂呢，就跟很串這樣。就大家都不怎麼 - 不合眼緣。接着呢， ei1 ，你認識誰誰。哎喲原來懂了之後呢發覺挺棒啊。
你要唔要吖？	你要還是不要？
噉我就會話 ， 情緒係可以改嘅	對此我想說的是 ， 情緒是可以適應調整的 。
往紅磡列車現在到站，乘客請勿超越黃線	往紅磡列車現在到站，乘客請勿超越黃線
佢企响船邊，船一搖就危危乎，要跌落海噉。	他站在船邊，船身一晃，很不穩很危險，他差點掉進海裡。
冇可能唔full𡃉喎。	不可能不犯規l淘氣。
瓣	行當
咁你就要小心 ， 唔好輕易開放你嘅第一道防線 ， 基本上嚟講就係你嘅Facebook ， 唔好比人哋係深夜係上面寫嘢 ， 因為呢個效果同現實生活係好大程度上係等價嘅 。	所以你必須很小心 防衛你的第一道防綫 基本上也就是臉書的塗鴉墻 要提防別人不會在半夜 你不知道的時候來留言 。
星期日得唔得閒打波？	週日有空打籃球嗎？
你經常見到嘅情況會係噉樣 或者噉樣 可以肯定嘅係年輕人對於上網 上網聊天 、 發短訊同打機 都好自在 、 好熟	你經常看到的情況會是像這樣 或是像這樣的 可以肯定的是 年輕人 可以很輕鬆自在的瀏覽網頁 上網聊天 、 互通短訊和打電動
擰轉頭就走	轉身就走
公司三文治	俱樂部三明治
將會合併為新路線二八六C，	將會合併爲新路線二八六C，
佢答我 ︰ 「 Gayle ， 呢個已經係我第三次做生意 。	她說 「 喔 ， Gayle ， 這其實是我第三項事業了
鑑古知今	檢古知今
你可以幫BB仔便便 。	你可以讓小貝比便便 。
出版社聯絡資料	出版商的聯繫信息
我哋還要明確題目對作者所選材料喺時間	我們還要明確題目對作者所選材料在時間
牛頸	牛脾氣
潛規則	不成文的規定
呢班散仔冇個打得。	這些走狗一個都打不過。
長沙灣肇如大廈附近有無運動場？	長沙灣肇如大廈附近有無運動場？
舂	搗
嗯，噉呀？噉第二間囖。有乜嘢好介紹啊？	嗯，這樣呀？那第二間嫋。有什麼好介紹嗎？
打主意	想出一個主意
光輝歲月	榮耀的日子
加強追查恐怖份子	加大力度追查恐怖分子
嗰個時候 ， 佢堅信 如果佢死咗 ， 佢嘅细路仔會更好 於是佢準備自殺	那個時候 ， 她很確信 如果她死了 ， 她的小孩會過得更好 ， 所以她計畫要了結生命 。
每次阿媽催阿傑結婚，阿傑都有一套新嘅説詞去推搪。	每次他媽媽催他結婚，阿傑都能提供新的藉口來拖延。
龍精虎猛	精神飽滿
罪名成立	被判有罪
archi要改設計嘅話，其他範疇就要跟住佢改。	如果架構設計發生變化，所有其他各方都需要跟隨他們改變他們的設計。
蜜糖水可以止咳同埋舒緩喉嚨痛。	蜂蜜水是治療咳嗽和喉嚨痛的良藥。
腥悶	使人討厭
配眼鏡	配一副眼鏡
你要盡力攞到法院指令 避免一單新聞喺 76 個國家報導	嘗試去獲得法庭的禁令 這樣可以避免來自 76 國家 新聞報導的洩漏 ，
警司警誡	警司的酌處權計劃
語音留言 ： 第一條已儲存語音留言	語言留言 ： 第一則留言
風速數值	風速值
邊個攪到咁撈攪呀？	誰弄得這麼零亂？
箍煲	言歸於好
一定要行出嚟	一定要走出來
練習賽	練習賽
塊石頭嘅形狀好得意。	這塊石頭的形狀很可愛。
我屋企好傳統，大時大節 一定要成家人一齊食飯。	我的家庭是傳統的。 每逢重大節日，全體會員必須聚餐。
我諗住暑假去學車。	我打算在暑假期間學開車。
上午開會甩身唔到	上午開會脫不了身
我家姐同我講，佢公司一向唔俾佢地咁做	我姐姐跟我說，他公司一向不讓他們這麼做
傳染病控制	感染控制
呢個就係你點樣成為 遊戲嘅傳奇級大師	如此就能成為多人拇指摔角的傳奇大師
佢哋-梗係喇，佢哋嗰啲讀𡁵，誒，誒，M.Phil嗎。	他們-當然啦，他們那些讀罵，淘氣，淘氣，M.Phil淘氣嗎。
劉敏儀（Veronica Mudd，1956年—1987年6月15日）係香港女演員。	劉敏儀（Veronica Mudd，1956年－1987年6月15日），1980年代初香港電視藝員。
每當翻風落雨，我個膝頭就痛。	每當刮風或下雨時，我的膝蓋就會疼痛。
你系咪NGO嘅人呀 ？ 你系咪媒體呀 ？ "	你是 NGO 嗎 ？ 是記者嗎 ？ 」
八十歲嘅老婆婆𠻺受啲噉嘅皮肉之苦。即係如果個錯在於…	八十歲的老婆婆受受點這樣的皮肉之苦。就是如果個錯在於 ...
係又點唔係又點？	是又怎樣不是又怎樣？
佢係個紅鬚軍師，成日幫人出啲屎橋。	他是一個不盡如人意的戰略家，總是提出不好的建議。
八號風球好大風，紅磡玉成街依家橫風橫雨	八號風球很大風，紅磡玉成街現在橫風橫雨
佢唔可以花幾分鐘或者幾個鐘去做到	幾分鐘或幾小時都太久了
做朋友吖嗎。（）嗎，係唔係啊？	做朋友啊嗎。（）嗎，是不是啊？
（ 笑 … … ） 齋月果陣時 ， 我地都要食齋 。	（ 笑聲 ） 回教齋戒月時我們都要一同禁食 。
我建議你遠離股票，簡單啲嚟講，即係一般散戶投資嘅成績係贏粒糖，輸間廠㗎！	我的建議是你遠離股票。 簡單點說，對於一般的私人投資者來說，投資的結果其實是小打小鬧！
微服出巡嗰啲，係嗎？	微服出巡那些，是嗎？
夜幕下嘅維港	夜晚的維多利亞港
咁熱嘅天氣飲杯冰水，成身涼浸浸。	大熱天喝冰水，身體很涼爽。
啲花有淡淡嘅清香。	花有淡淡的香味。
我喺譚仔叫咗碗大辣嘅米線，第一啖已經食到鼻涕fi li fe le。	我在譚仔點了一碗“超辣”米線，第一口就噴鼻血。
你想出去食自助餐呀？頭先你咪話減肥嘅？	你想出去吃自助餐嗎？ 你剛才不是說你在節食嗎？
包尾	最後一名
係嘞。恆生指數有佢份𡃉，佢嘅人升升，升升跌跌。	對了。恒生指數有他份，他的人升升，升升跌跌。
小朋友，食唔食雪糕啊？	孩子，你想吃冰淇淋嗎？
係噉打機	參加比賽馬拉松
你就準備執笠啦	你就準備破產吧
呢個BB俾父母拋棄。	這個嬰兒被他的父母遺棄了。
我周圍揾枝筆，但係都揾唔到。	我到處找那支筆，但找不到。
繪畫班有十幾個細路	繪畫班有十來個小孩兒
所以有請 Romo	為你們介紹 ROMO 。
冚	所有的
你頂住吓	你撐下去
梗係要喇。	當然要了。
畀狗噬咗一啖	給狗咬了一口
食唔食蛋撻好呢？	我應該吃蛋撻嗎？
呢封信嘅正文只有三行。	這封信的正文只有三行。
佢又試去問貴利佬借錢。	他又去向高利貸者藉錢。
有個亞伯喺西灣河筲箕灣道唔見左個銀包	有個亞伯在西灣河筲箕灣道不見了個錢包
留守大本營	留在總部
我可是很樂意去說自己的見解	我可是很樂意去說自己的見解
我哋嘅洗衣產品 可以將白衫洗成灰色	我們有洗衣精把你的白衣愈洗愈灰
我中意表演各種角色 從奴隸時代復仇心重嘅鬼魂 到生活在 2004 年的國務卿 。	我表演過各種角色 從存在與奴隸制時代的復仇心很重的鬼魂 到生活在 2004 年的國務卿
啲雞係唔係斷斤賣？	雞是按斤賣的嗎？
查實你知唔知我而家係偷-偷錄𡁵你𡃉唧？	其實你知道嗎？我現在是偷-偷錄罵你贏唧？
求其	對付著
講極都唔聽，係要撼頭埋牆。	怎麼說也不聽，是要撼頭了牆。
生綟	活結
衝鋒隊	香港警察急救隊
巴士總係逼到好似沙甸魚罐頭噉	公車總是擠得跟沙丁魚罐頭似的
望乜嘢呀？	你看什麼？
佢霸位，我請飲茶？唔係係唔係啊？	他佔位，我請喝茶？不是是不是啊？
自己調節嘞。	自己調節了。
你究竟想點？	你到底想怎樣？
有個鼓佬同結他手想入band。	鼓手和吉他手想加入一個樂隊。
戲肉	事情的最精采處
你唔好偷步，你想俾人取消資格呀？	不要搶跑，不然你想取消資格嗎？
我哋實牙實齒講好晒，你唔好反口啊！	事實上，我們都同意了，所以你不能反悔！
有個老人去左洪水橋沙洲里路食齋	有個老人去洪水橋沙洲里路喫素
到最後 ， 有啲醫生就話 佢哋就算覺得有啲決定對病人有益 佢哋都落實唔到	終於有些醫生如今表示 他們不能完全自由地 替病人的福利把關
籌劃擴展海外業務	計劃拓展海外業務。
呢處冇掛窗簾，有啲棖眼	這裡沒有掛窗簾，有點棖眼
講句公道説話，佢份人擔屎唔偷食。	公平地說，我們必須說他誠實到過分。
呢個保險經紀好利口。	這個保險代理人倒是挺能說會道的。
佢對國際局勢洞若觀火，成功預測大戰發生。	對國際形勢瞭如指掌的他，預見了這場戰爭。
呢壇嘢真係好杰。	這是一場災難。
刹時間 ， 我成為一個孤兒 ， 無家可歸	突然間 ， 我成了無家可歸的孤兒 。
開心果	性情開朗的人
佢份人好牛精㗎，你都係算數罷啦。	他生性固執，你還是算了吧。
教練成日踎喺場外吼路	教練老蹲在場外找人家的破綻
喺實驗室 你將隻蛤放落pH值 唔係 8.1 呢個係一般海水pH值 而係 7.5 嘅液體裡面 隻蛤會喺三日內溶解	我做了點實驗 ， 把蛤蜊放入較酸的海水裏 ， 也就是說 不是弱鹼值 8.1 的正常海水 ， 而是 7.5 ， 這酸度大概只需要三天就能讓它們融化 。
拖個人出去	把一個人拖出去
你喉嚨痛呀？叫樓下飛兩包飛機欖上嚟啦！	你有喉嚨痛嗎？ 請小販往樓上扔飛機橄欖！
鹹菜送飯	米飯配鹹菜為主菜
我識。仲有一隻叫做銀建。	我認識。還有一隻叫做銀建。
我好鍾意食朱古力雪糕㗎。	我很喜歡吃巧克力冰淇淋。
坐喺你側邊嗰個人咁生面口嘅？邊個嚟咖？	坐在你旁邊的人對我來說太陌生了。 他/她是誰？
靴靴聲	呼哧呼哧
枳住佢把嘴	把他的嘴堵住
港鐵學院（英文：MTR Academy）係港鐵公司轄下培訓機構，2016年11月10日正式開張。	港鐵學院（英語：MTR Academy）是港鐵公司轄下的培訓機構，成立於2016年11月10日。
係咪friend先？	我們真的是朋友嗎？
你唔好玷佢	你不要碰它
持老賣老叫人讓坐真係好難頂	持老賣老叫人讓坐真的好難熬
搞到我冇得點食，即係嘗試下周圍嗰啲美食啊，好鬼，好鬼衰啊，冇得食。	搞得我沒得怎麼喫，就是嘗試下週圍那些美食啊，非常，非常糟糕啊，沒得喫。
但每個月最好更換一次鞋墊	但每個月最好更換一次鞋墊
佢乜都食。	他什麼都吃。
有乜偈好傾吖！	有什麼可聊的！
白撞雨	太陽雨
入廠大修	住院進行大手術
香港山多平地少嘛	香港山多平地少嘛
耶穌基督	耶穌基督
嗰日有波士同幾個同事指正佢，但係點知佢仲死撐話自己都冇做過錯喎！	那天老闆和幾個同事給他指出錯誤，誰知道他還是死不承認，還說自己沒做錯！
經理講話要大家討論吓	經理說要大家討論一下
搬幾件嘢好閒啫，佢咁好力，冇問題！	搬起幾件東西只是小意思而已，他的力氣這麼大，沒問題！
「 圖中個女仔係你個女吖 ？	這是否是你的女兒 ？
我同佢識咗N年啦！	我認識他好多年了！
我不是天上的明星	我不是天上的明星
佢明明冇做過，都要坐三年冤獄，公平咩！	他沒有做錯任何事，但仍被關進監獄。 這是何等的誤判！
油膉味	腐臭味
亞爸唔肯買，佢就去扭媽咪買	爸爸不肯買，他就千方百計央求媽媽買
點解唔見左元朗大棠路對開嗰個巴士站	爲什麼不見了元朗大棠路對開那個巴士站
搞搞新意思	弄一些噱頭
但係佢同泰德講 係佢出海最後嗰日 有隻酒糟鼻海豚 忽然係隻船隔離出現 佢喺度整走 氣孔裡面啲油	他告訴泰德 ， 在他最後一天的嚮導行程時 ， 有一隻瓶鼻海豚 ， 突然從船邊冒了出來 ， 從牠頭頂的氣孔中 ， 不斷地冒出黑色的石油 ，
我依家喺藍地虎坑路，附近有停車場泊車嗎	我現在在藍地虎坑路，附近有停車場停車嗎
今日場球賽我哋同對方和波，真失望。	在今天的比賽中，我們隊的比賽以與對手打成平局告終，我們真的很失望。
坐花廳	坐大牢
香港物業市場統計數字。	香港物業市場統計。
咪喐嚟喐去！	別動來動去！
今次係我大意，我唔會再犯錯。	這次是我大意了。 我不會再犯那樣的錯誤了。
絕頂聰明	非常聰明
你嘅頭皮好似唔係好健康。	看來你的頭皮不是很健康。
都要記住頭先講過嘅嘢啊	也要記住剛纔說過的東西啊
（ 節奏口技 ） 通過舞蹈 ， 就會好似咁 ︰	（ 口技 ） 用舞曲 。 像這樣 。
備戰奧運	為奧運會做準備
呢啲花園並唔係密閉空間	你可以看到這些庭院空間 並非是封閉不透氣的空間 ，
即係話任何人都有可能 生軟骨發育不全嘅BB	這意味這房間內任何人都可能 有一名軟骨發育不全的子女 。
反叛期	青春期的叛逆，青春期的叛逆
對於個人制裁一笑置之	對於個人制裁一笑置之
佢想做CEO？睇返自己有咩quali先啦。	什麼，他想當總裁？ 他需要對自己的資格進行現實檢查。
經濟發展	經濟發展
一隻曱甴啫，你使唔使咁大驚小怪呀？	蟑螂而已，何必在茶杯里大鬧一場？
狗棍	丁魚
我曾經做咩都好有節奏	我向來都對節奏很感興趣 。
呃like	在社交媒體上吸引點贊
鼓氣袋	經常賭氣
不肥不瘦	不胖不瘦
但呢張輪椅就好似一件神奇玩具	所以 ， 當我坐上輪椅 ， 簡直是一件新奇的玩具
同工	同事、同僚
喺《物理學》（Physics）嘅第二冊，第三章頁面存檔備份，存於中，亞裏士多德應用了四因說來建立起物理學的論述方法。最後佢強調話：	在《物理學》（Physics）的第二冊，第三章頁面存檔備份，存於中，亞裏士多德應用了四因說來建立起物理學的論述方法。最後他強調說：
牙齒當金使	講信用
佢原本打算炒手機，結果變蟹，唯有半價賤賣。	他打算翻手機賺錢，結果陷入了價格暴跌。 他最終以半價出售了他的庫存。
㨘到爉爉令	訓了一頓
佢四圍搵人度水。	他到處找人借錢給他。
我個性格去唔到盡（）。	我的性格去不了盡（ ）。
唔夠亂	不夠雜亂 。
係呀，冇而家噉樣㗎，二十、二十㗎，冇㗎，呀，嗰陣時真係好闊佬㗎。	不像現在二十塊、二十塊這樣，真的很闊綽。
人哋打開門做生意，燈油火蠟，都要皮費㗎。	人們開店做生意，所以他們必須支付他們的管理費用。
坑渠	污水渠
姣婆藍色嘅衫唔易着得好睇㗎噃。	妖艷藍色要穿得好看並不容易。
石斑要清蒸先夠鮮味。	石斑魚應該蒸熟以保持其新鮮的味道。
嚇到我滮汗	嚇得我大汗淋漓
喺公司搭食	在公司搭伙
我一直收藏緊非洲嘅木雕 從旅遊商店又好 ， 從世界 各地嘅舊貨市場又好	我一直在收集來自全世界旅遊商店 及跳蚤市場的木製非洲塑像 ，
即係哩啲嘢會循環，（）？如果大家嗰個對將來嘅前境係睇好嘅時候啊，即係大家唔會咁容易變佢嘅計劃囖。噉啊，香港啊，就唔會搞到咁乜嘢喇。	就是這些東西會循環，（ ） ？如果大家那個對將來的前境是看好的時候啊，就是大家不會那麼容易變他的計劃。這樣啊，香港啊，就不會搞得這麼什麼了。
喺老師心目中，操行比成績更加重要。	在老師眼裡，品行比成績更重要。
摻埋你玩	讓你一塊來玩
你點可以放棄呢個咁寶貴嘅機會㗎？	如此寶貴的機會怎能錯過？
粟米斑塊飯	玉米斑塊飯
你聞唔聞得出係咩味？	你能認出這是什麼氣味嗎？
考生有幾分鐘時間組織發言內容。	候選人有幾分鐘的時間來組織演講的內容。
我哋話實聽朝八點喺呢度等你。	說好了明天早上八點我們在這裡等你。
補數	補
明	眼光正確
扁圓形	橢圓形
卜	預訂
嗰啲衰嘢啊我諗睇嗰啲。	那些壞東西啊我想看那些。
班都那叫呢種自信做自我效能 嗰種感覺係 ， 你能夠改變世界 同埋你可以達到嗰啲定咗嘅目標	一種你能改變世界的感覺 你能達成自己的目標
佢做得幾快呀！	他幹得多快！
日本傳統有崇拜陰莖嘅習俗。	日本有陰莖崇拜的傳統。
呢啲紙皮賣到十蚊㗎。	這些紙板可以賣到十元。
哦，噉你呢？	哦，那你呢？
冇火柴點樣點火啊？	沒有火柴，我們怎麼能生火呢？
跟尾狗	哈巴狗
我哋亦冇辦法去衡量佢 對喺學校嘅目擊人同參與救援 同清理嘅人造成嘅心裡創傷	我們無法量化 當時在校的人 ， 或參與搶救及善後的人 所受到的心理傷害 。
係啊，成班囖，何慧琪啊。	是啊，整班嫋，何慧琪啊。
啲人話long d好易散。	據說異地戀的情侶很可能會分手。
請問你有無聽過浪茄灣附近睇魚岩頂喺邊度	請問你有沒有聽過浪茄灣附近看魚巖頂在哪裏
之後 ， 佢哋將佢帶到廣場上 依足規矩咁扯走佢嘅徽章 又將佢嘅劍折成兩段	之後 ， 他們把他帶到了公共廣場 依照慣例取下他制服上的勳章 ， 然後把他的劍折成兩半 。
女童現時情況穩定。	目前女孩情況穩定。
工聯會透露，有啲企業同公司逐漸採用陰乾式裁員。	工協透露，一些企業和公司正逐步以扣款作為辭退員工的方式。
火力唔好過龍，唔係就會煮燶。	熱功率不宜過高。 否則它會被過度燃燒。
他日	他日
有一晚我飲大咗，返屋企就同老婆嘈起上嚟。	一天晚上喝多了，喝醉了，回家就和老婆吵了一架。
飽肊	飽嗝兒
如果你搵到自己嘅方向,唔好理任何障礙	如果你找到自己的方向，別管任何障礙
佢啲衰嘢畀人抰晒出嚟	他幹的壞事讓人全抖落出來了
你要小心嗰條姣婆，佢呢排發晒姣。	你應該小心那個蕩婦，因為這些天她的行為就像她完全被性喚起一樣。
水筆	墨水筆
