炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
喺燈塔睇風景好浪漫。	在燈塔上看海很浪漫。
妹仔	丫頭
我有罪，我乞求上帝嘅寬恕。	我犯了罪。 我求主憐憫。
係啊。我連Internet呢，直程係一下就，咦「靴」已經彈出來，唔係喺度好似龜噉樣。	是啊。我連 Internet ，直程是一下就，咦「靴」已經彈出來，不是在這裏像一樣。
噉咪得囉	這樣就可以了
佢中學畢業之後不務正業，淨係做吓兼職。	中學畢業後，他並沒有尋找合適的工作，只是偶爾在一些公司兼職。
乜都冇得賣	沒有東西賣
我捱咗咁多年啊我而家Yearthree嚹喎。	我熬了這麼多年啊我現在 Yearthree 嘮啦。
心火盛	煩躁
大約喺1949年，唐君毅同埋錢穆呢批新儒家學者，咁啱生活喺政局混亂嘅時代，所以佢咃喺香港避難同埋生活。喺呢個時間佢哋就喺香港起左個新亞書院，就噉樣對香港中文大學做咗好多貢獻，於是佢哋就畀人視為宋代書院文化嘅延續。	1949年前後，包括新儒家學者唐君毅及錢穆等儒者均因時勢動蕩而居於香港，並在香港設立新亞書院，對香港中文大學的成立作出不少貢獻，並被視為宋代書院文化的延續。
注意囉 ， 個網全部打開個陣 呢啲四旋翼全部打側九十度	請注意的 ， 在完全伸展時 這些四軸是垂直的
橫蠻無理	不合理的粗魯
另一方面 ， 政府又將伺服器留喺北京 方便隨時監控	另一方面 ， 政府又希望把伺服器留在北京 這樣政府便能隨時取得他們需要的資訊
好多人心目中嘅天使，都係背脊有翼，頭上有光環嘅。	人們通常想像天使有翅膀和光環。
信肉	信紙
我外婆住喺長沙灣一號·西九龍	我外婆住在長沙灣一號 · 西九龍
LED 係僅次於日光嘅最好發光物體	LED 是僅次於日光的最佳光源
買多個士啤都好。	買個備用的就好了。
頭頭有電話搵你。	剛才有一個電話給你。
一次又一次的讓我失魂落魄	一次又一次的讓我慌張落魄
黃大仙我地頭喎，呢度幾多好嘢食。	黃大仙是我的地盤。 有很多好吃的。
有皇氣啊！快啲散水！	警察來了，所以我們最好快點離開這裡！
你哋快啲啦!大伯佢哋而家喺石硤尾站等緊你哋	你們快點吧！大伯他們現在在石硤尾站在等你們
呢對鞋唔太大又唔太細，著落去啱啱好。	這雙鞋不大也不小，剛好合腳。
萬大事包喺我身上。	就交給我吧。
有咁耐風流，就有咁耐折墮，你小心收尾幾年呀！	有這麼久風流，就有這麼久沒良心，你小心收尾幾年啊！
跟住個地球會轉 ， 我哋可以睇到所處嘅位置 。 跟住 ， 我哋打開本書 掃過各篇章節 來瀏覽此書	隨著地球轉動 , 我們可以看到我們的所在地 . 接著 , 我們打開書 拖曳過各個章節 來瀏覽本書 .
你畀唔畀啲細路仔睇電視啊？	你讓孩子看電視嗎？
細佬喺金鐘法院道收養左一隻流浪狗	弟弟在金鐘法院道收養了一隻流浪狗
但佢當時嘅世界好好彩 佢唔需要通過英語考試	但對整個世界來說 , 很幸運的 當時他不需要通過英語考試
你隻戒指咩記認都冇，唔見咗好難揾㗎喎。	您的戒指上沒有明顯的標記。 丟了就很難找了。
政務官	行政官員
又曬黑返嚟喇，哈哈……	又曬黑番黎喇，哈哈！
今時今日，噉嘅服務態度係唔得㗎。	在這個時代，這樣的服務是不可接受的。
講乜嘢啊你？小心啲講嘢。喂下個月底你哋喺唔喺香港啊？	說什麼啊你？小心點說話。喂下個月底你們在不在香港嗎？
唔好睇小你細佬噃！	別小看你弟弟！
唔似	不像
寫封信畀媽媽	寫一封信給媽媽
我喺呢區住咗超過十年。	我在這個地區住了十多年。
蒸嘢至緊要扱實個蓋	蒸東西最重要的是蓋嚴蓋子
我哋必須推翻呢啲唔合理嘅啲事	我們必須向那些挑戰 。 那些完全不合理智 。
恭喜晒喎！	恭喜你啦！
都係五、六分鐘講晒𡃉喇。	都是五、六分鐘說了。
佢開機器唔小心，打跛咗隻手。	他正在操作一台機器，不小心弄傷了他的手。
向前行，上樓梯之後向左轉就係啦	往前走，上樓梯後左拐就到了
去一次旅行閒閒哋都要幾千蚊，我冇咁多錢啊。	出國旅行很容易花費數千美元。 我沒有那麼多錢。
即刻-好香囖，但係唔好俾個香字來引誘到我啊，要慳錢至上啊。	馬上-很香鬢，但是不要讓個香字來引誘到我啊，要省錢至上啊。
大堆頭	一大幫人
敵我矛盾	我們和我們的敵人之間的衝突
佢部處女作將會競逐今屆最佳電影獎。	他的第一部電影就獲得了最佳電影獎提名。
個答案中得好應！	答案是100%準確！
想起來，我從頂上直冷到腳跟。	想起來，我從頂上直冷到腳跟。
犯罪首腦	犯罪策劃者
佢俾女朋友飛咗冇耐就同你拍拖，擺明揾你做水泡啦！	他被甩了，不久之後就開始見你。 他分明只是把你當替補。
欖角	欖豉
呢個漁港有好多海產買㗎！	在這個漁港可以買到很多海產品！
於是我拉落去電郵最底 㩒取消訂閱	所以 ， 我把郵件拖到底端 ， 然後點了 「 取消訂閱 。 」
喺 1980 年 歇斯底里症正式改名為 「 轉化症 」	在 1980 年 ， 歇斯底里症 被正式更名為轉化症 。
打牙骹	閑聊
其實唔係粵菜至打芡，其他菜係都打芡㗎	其實不是粵菜才勾芡，其他菜係也都勾芡
日日都冇嘢做，感覺度日如年。	每天無所事事，日子過得像歲月。
矮仔多計	矮個子可以想出很多點子
問題總係要解決嘅。	這個問題遲早要解決。
呢張枱咁大，太掗拃喇	這張桌子那麼大，太礙事了
據估計 ， 樂高生產咗超過四千億嚿積木 平均全球每個人有 75 嚿積木	大約估計了一下 ， 樂高生產了超過四千億個積木 平均全球每個人擁有 75 塊積木
陷入困境	使自己陷入困境
收租對於業主嚟講係好重要嘅	這點挺重要的 。
麗珊	麗珊
一家大細	整個家庭
之後 ， 研究員翻查公眾死亡記錄 嚟確定邊個死亡	之後他們用戶政所的死亡記錄 去查出哪些人掛了
BB轉身時翻跌落牀，倒豎蔥跌喺個裝有衣服嘅籃內，媽咪話，好在佢冇事喎。	嬰兒正要轉身的時候，翻身從床上掉了下來，頭朝下掉進了一個籃子裡，籃子裡裝著衣服。 他媽媽說幸好他沒事。
你升咗做經理嘛，你大晒啦而家，開心啦？	你現在已經晉升為管理層了，你統治這個地方！ 快樂的？
織	編織
通過交流，兩地學生加深咗了解。	通過交流，兩地的同學們有了更深入的了解。
出面隻蟬叫得好大聲，整走佢啦！	外面的蟬嗡嗡的好響啊！ 擺脫它！
做乜諗野唔食飯	幹嘛想東西不喫飯
嗲嗲渧	流個不停
有個老人去左洪水橋水庫路食齋	有個老人去洪水橋水庫路喫素
吓？你教我講，講啲乜嘢啊？講今朝參觀貨櫃碼頭嗰啲嘢呀，係嗎？	啊？你教我說，說點什麼啊？說今天早上參觀貨櫃碼頭那些東西啊，是嗎？
下面嘅研究都基於呢個成果	其他後續的研究
表	表格
地下音樂	地下音樂
今日我同陳小姐一齊去轆齡。	今天我和陳小姐一起去打保齡球。
你老婆出得廳堂，入得廚房，你真係有福呀	你老婆裡裡外外一把手，你真有福氣呀
個富豪個女俾人綁咗票。	億萬富翁的女兒被綁架了。
衰喇！唔記得帶鎖匙添	糟了！忘了帶鑰匙
呢個房間好罨汁	這間屋子又窄又不整潔
糟騭	糟蹋
你正瘟神，冇好帶挈！	你只是瘟神，從來沒有給我帶來任何好處！
治標唔治本	從表面上而不是從根本上解決問題
下邊	下邊
唔係啊。	不是啊。
成日好似死蛇爛鱔噉有乜出息吖！	整天懶洋洋的有什麼出息！
呢袋米啱啱五十公斤	這袋米剛好五十公斤
撫恤金	養老金
屈頭	無尖端
限時	限時、限制時間
如常	如常
有啲父母話，教局唔得掂。	有家長說教育局沒用。
相傳是往昔曾在院子裏的槐樹上縊死過一個女人的，	相傳是往昔曾在院子裏的槐樹上縊死過一個女人的，
恭喜你個仔讀博士，你威水啦	恭喜你兒子讀博士，你神氣吧
老友唔記得去香港仔漁獲街參加緩步跑練習	老兄忘記去香港人漁獲街參加緩步跑練習
張啤牌唔見咗。	撲克牌丟了。
迷你西多士	迷你西土司
呢個罐口得好密實	這個罐子蓋得挺嚴實的
照燒雞便當	照烤雞便當
佢用懇求嘅目光望住佢個仔。	他向兒子投去懇求的一瞥。
威爾斯親王醫院	威爾斯親王醫院
即係萬八同萬-八千喎，都黐線𡃉真係。	就是萬八和萬-八千，都神經病真。
負笈英倫	赴英國深造
我哋最好將呢件行李擺喺行李架上便	我們最好把這件行李放在架子上
咳藥水	止咳糖漿
初選	初步選擇
閲歷廣闊	豐富的經驗
三日囖。	三天嫋。
大家隨意啲，唔使咁拘謹。	隨意！ 大家不要那麼僵硬。
呢條喉管要用銅做嘅先至禁用。	為了經久耐用，該管子必須由銅製成。
「 你鐘唔鐘意凳嘅顏色 ？ 」	你喜歡折疊椅的顏色嗎 ？ 」
姨媽同我去元朗宏業西街買餸	姨媽跟我去元朗宏業西街買菜
佢係佢嗰輩最頂尖嘅歌手。	他是他這一代的頂級歌手之一。
佢係用泥膠做嘅龍蝦 佢好怕黑	用彩色塑泥做的龍蝦 牠很怕黑
情況壞到極點	真是太糟了
佢哋睇嚟都唔似輸家	對我而言 ， 他們看起來 可不像是魯蛇啊 ！
但三年冇見過喎。	但三年沒見過啊。
快速旋轉	高速旋轉
開設銷售辦公室 仲請咗一名發言人	也聘請了一名代言人
貪	為了
嘩！咁平嘅！	哇！ 多划算！
不可思議地 – 唔係 ， 奇跡般地 – 他生還了 。	奇怪的是 不 ， 奇蹟般的是 他生還了
當冇嚟	只當某人沒來
好快冇事，請放心買樓	很快沒事，請放心買樓
口痕友	口多多
包括用 iPad 將 Romo 變得興奮	所以我可以進入 ROMO 的內心 ， 我們來讓 ROMO 興奮一下 。
仲有冇第二隻花款呀？攞嚟睇吓	還有沒有別的款式？拿來看看
臨天光瀨尿	全盤皆失
（ 臺下笑聲 ） 顯然係啱嘅	挺能理解的吧 。
可能佢哋-佢哋自己會開心囖，但係就唔會話即係睇得咁重嘞。	可能他們-他們自己會高興，但是就不會說就是看得那麼重了。
呢本百科全書介紹咗好多有關昆蟲嘅嘢。	這本百科全書介紹了很多與昆蟲有關的東西。
現在硬要把全部人口推到最頂	現在硬要把全部人口推到最頂
攬圍裙	穿圍裙
世界銀行預測 ， 假如全球流感大爆發 全球財富將會唔見三兆億美元 會有幾百萬人死亡	世界銀行估計 如果來一場全球流感疫情 ， 全球財富將會減少三兆多美元 ， 而且還會有數不清的死亡病例 。
䅺芽	發芽
你出多啲汗，啲燒就會退㗎喇。	出汗多了，燒就會退。
最近個股市升得咁急，大家睇路呀！	股市最近上漲得如此之快。 每個人都需要謹慎。
咁高我上唔到去	那麼高我上不了
跟住到邊個？	誰是下一個？
幾銀斤？	多少錢一斤？
欄河	欄杆
由得佢喇	隨便他吧
眼見你咁辛苦，但係我又無能為力。	看著你受苦，我也無能為力。
我買咗個水池俾隻狗仔玩。	我為我的小狗買了一個戲水池。
呢啲系我自己係屋企煮嘅飯	這些都是一些我在家做的飯菜 。
大佬經已七十歲，唔怪得話金盤洗手。	我們的老闆都70歲了，怪不得他說要退了。
你唔好偷步，你想俾人取消資格呀？	不要搶跑，不然你想取消資格嗎？
因為今年 我哋將會毫無必要噉 嘥咗幾百萬嘅學生 但係宜家 ， 我哋可以救佢哋	今年我們會毫不必要地失去 數百萬的孩子 我們本來可以 ， 就是現在 我們本來可以拯救他們
佢哋都係中等身高	他們都是中等身高 。
老闆請我去元朗紅棉徑間餐廳食西多士飲奶茶	老闆請我去元朗紅棉徑間餐廳喫西土司喝奶茶
而家係兩點	現在是兩點
托賴	有福氣
佢死咪書。	他學習很努力。
地積比率	容積率
1945年8月16號，一批華人同日本人喺松原酒店（原告羅士打大酒店）正門外收聽日皇嘅《終戰詔書》。	1945年8月16日，一批華人與日本人於松原酒店（原告羅士打大酒店）正門外聆聽日皇的《終戰詔書》。
距可以真實反映我們嗎 ？	真實的反映了我們嗎 ？
哎，舒服晒！	啊啊啊，我放心了！
呢個bra好厚pad。	這款文胸包含非常厚的襯墊。
航空公司	航空公司
端午節廣州有扒龍船嘅風俗	端午節廣州有划龍船的風俗
媒人讚佢靚都冇用，至緊要你合眼緣	媒人誇獎她漂亮也沒用，最重要的是你看得順眼
止住咳先啦	暫時解決了問題
你睇佢個木嘴，同佢講都曬氣	你看他的木嘴，跟他說都曬氣
由開始到完成 成個程序只需要半個鐘頭	從開始至結束 ， 整個過程只花 30 分鐘 。
插手袋	插兜
但係金星嘅大氣都會隨著時間逃逸 火星與地球都會	但是金星的大氣也會隨時間逃逸 ， 火星及地球也一樣 。
個名師講座你冇去聽真係嘥晒	這個大師講座你沒去聽真是錯失了機會
斯洛文尼亞	斯洛維尼亞
呢間酒樓嘅價錢都好大眾化。	這家餐廳的價格適合大眾。
你話印度人係摩囉差都係唔尊重。	你說印度人是摩囉差一點也不尊重。
將條鐵窗枝都𢺳攣咗	把那條鐵窗格子都扳彎了
噉你有冇-	那你有沒有-
唔係。或者四、五點先開始玩囖。四、五點先call佢出來飲酒咪啱囖。	不是的。或者四、五點纔開始玩罵。四、五點纔打電話他出來喝酒就對。
唔好睇呢個阿伯一把年紀，其實佢挑通眼眉，想呃佢無咁易。	別看不起那個年紀的老人。 其實他思維敏捷，見多識廣，騙不了他半分。
依條僆仔真冇修，話極都唔聽	這小子真不像話，怎麼說他都不聽
好多偉人都可以做我哋做人嘅模範。	許多偉大的人可以成為我們如何成為一個好人的榜樣。
佢哋呢排行得好埋。	這幾天他們的關係越來越近了。
讓市民更及時得悉有關數據	讓市民更及時得悉有關數據
又係-又係哩啲嘢呀？噉冇嗱？上次你就噉講咗哩啲就冇㗎嗱。	又是-又是這些東西啊？這樣沒有？上次你就這麼說了這些就沒啦。
要上樓，係買樓又好，係輪到上公屋又好	要上樓，是買樓又好，是輪到上公屋又好
你哋有冇聽過 「 你能夠管理你檢討嘅嘢 」 ？	你們都知道這句話 你可以控制你能衡量的東西 。
經濟誘因	經濟激勵
好人事	心腸好
美不勝收	比眼睛更美麗
有住	有著
我至憎人食煙！	我最討厭抽煙的人。
幾得意噉喎。	看起來很有趣。
佢希望事業上有一番作為。	她希望自己在事業上取得巨大的成功。
佢當面讚我，背後又去董事長度唱衰我，神又係佢鬼又係佢！	他當面稱讚我，但在我背後他去找總經理說我壞話。 他是一個多麼有兩面性的人啊！
爺爺，我可唔可以睇新一集嘅龍珠呀？	爺爺，我可以去看新一集龍珠嗎？
而我哋又點會明白 人工智能係點樣完成咁龐大嘅運算呢 ？	我們如何可能理解 ， 較不嚴格地說 ， 一個達成如此進展的心智 ？
老實講，究竟有幾多雙非兒童會回流，港府根本矇查查。	其實，至於最終會有多少雙非永久性居民子女回港留港，港府基本是一無所知。
晒命	炫耀自己
噉我覺得唔好睇囖。	我覺得不好看。
跟住，冇嚹。	接着，沒有嚹。
貿易協定	貿易協定
我阿爸阿媽同埋最細嗰兩個細佬妹。	我爸媽和最小那兩個弟弟妹妹。
請問搭乜嘢車去天后維多利中心	請問搭什麼車去天后維多利中心
聽日見大人物，要搵翻件飲衫出嚟著至得	明天要見大人物，要找件漂亮衣服穿上才行
真實寫照	逼真的寫照
呢架跑車有型有款，座位仲係用真皮做𠻹。	這輛跑車很優雅，連座椅都是真皮的。
做了很多年，已經是主管級	做了很多年，已經是主管級
七彩	色彩繽紛
通常明星嘅行為會形成一種潮流，令到好多人跟風。	通常，流行歌星的舉動會成為人們追隨和模仿的潮流。
佢死唔斷氣，我真係唔知佢講乜！	他嘴裡念念有詞，我真不知道他在說什麼！
練拳不練功，到老一場空。	只練武功，不練功，到老了就一事無成。
佢嗰年賣豬仔去咗南洋	他那年被賣到南洋做苦工去了
覘天望地	東張西望
（ 掌聲 ） 而伴隨著嘅挑戰係我哋要搵新方法 向支持脫歐嘅人解釋全球化 同埋要明白呢啲人未必讀過大學 互聯網未必陪伴佢哋成長 佢哋未必去過旅行 佢哋可能未被我哋自由社會裏面 覺得有說服嘅嘢說服	（ 掌聲 ） 我們的挑戰是找到一種新方式 向他們描述全球化 ， 理解那些沒有上過大學的人 ， 不是和網路一起長大的人 ， 沒有機會去旅行的人 ， 我們在自由主義泡泡中形成的論述 恐怕是他們無法接受的 。
紅牌阿姑一晚接五六個客。	這位著名的妓女在一個晚上進行了大約五次性交易。
阿松走去同個大隻佬拗手瓜。阿松用咗成半個鐘拗，個大隻佬隻手臂都仲係郁都唔郁。	阿松去和一個肌肉男玩扳手腕。 阿松已經用了半個小時的力氣去拉，可是壯漢的手臂卻紋絲不動。
我唔覺得自己咁做好衰	我不認為這是傷天害理的 ，
佢想停喺空間嘅一個固定位置	它試著要待在空間裡固定的一點
攎	取
喺我哋嘅社區創業 本錢喺邊度嚟嘅呢 ？	社群中 ， 用來建立 我們所想要的這種企業的資本在哪裡 ？
受薪	支取薪水
買正貨	購買正品
我聽到呢個消息之後，多少都有啲失望。	聽到這個消息，我感到有些失望。
激死	氣壞了
用晒	都用
道德淪亡	道德破產
佢暗示今年會退休。	他暗示他將在今年退休。
冇料	做人窩囊
對眼	雙眼
一陣雨	陣雨
有個老人去左坪洲永興街食齋	有個老人去坪洲永興街喫素
老爺車	舊式的車
我地时间快到了	因為我們的時間到了
佛教信徒	佛教徒
我報咗名去日本	我參加了去日本的旅行團
佢孭住細佬哥做嘢。	她工作時背著孩子。
呢個舖頭一日要做一萬蚊生意先夠皮	這家店每天要做一萬塊錢的生意才夠本
佢日日掛住打麻雀，屋企啲嘢，就闊佬懶理	佢每天只顧打麻將，家裡的事就甩手不管
唔係啊。嗰樣嘢真係係公專有快樂啊。	不是啊。那個樣子東西真的是公專有快樂啊。
佢交咗一份報告俾我。	他已經向我提交了一份報告。
你一定唔可以死。	你不能死。
但評委懷疑有其他建築師參與	但評委有持疑 , 他們認為有另外的建築師參與修建 .
做得唔開心咪揾過份工囉，東家唔打打西家啫。	不滿意就另找工作。 總能在某個地方找到工作。
我成日去做運動好健康咖。好似係。	我每天鍛煉身體，我真的很健康。 嗯，似乎是對的。
質因數連乘式	質因數分解
臨時	臨時的
大家都叫佢做杞人	大家都叫他做杞人
佢俾老豆鬧到死死吓。	他被父親狠狠地罵了一頓，所以他心裡很不爽。
敢	敢
有無人去過香港仔體育館嘅兒童遊戲室玩？嗰度乾唔乾淨㗎？	有沒有人去過香港人體育館的兒童遊戲室玩？那裏乾不乾淨的？
令大氣層出現溫室效應 太陽嘅熱力被大氣層鎖住 熱力留返喺度 ， 將星球表面加熱	它造成了類似施打了 類固醇的溫室效應 ， 這大氣層困住了來自太陽的熱量 並烘烤著行星表面 ，
一路佢講個過程啫。嗰段舞𠻺最後尾先睇嘅。	一邊他說個過程而已。那段舞 𠻺 最後尾巴纔看的。
天佑香港。	願上天保佑香港。
其他人	其他人
爛癮	癮頭兒大
我諗極都諗唔到我嘅密碼。	無論我多麼努力，我都想不起來我的密碼。
嗰水呢，滴滴滴滴。都唔知點樣洗頭，幾乎要抹身咁滯。	那水呢，滴滴滴滴。都不知道怎麼洗頭，幾乎要快要擦身。
成班曳仔夜嘛嘛走去公園度照田雞。	一群淘氣的男孩深夜去公園偷偷窺視那裡正在約會的情侶。
以前喺街市買條魚，都係用鹹水草綁住。	那些年我們在市場上買魚的時候，都綁著短葉的馬六甲。
原班人馬	同一批人
馬季煞科	賽馬季結局
肉好實	肌肉很結實
呢個客係我哋米飯班主，千祈要招呼好佢。	這個客戶是我們賴以生存的來源，所以我們必須善待他。
我考獲車牌冇幾耐就買咗一架易手車，但唔夠三日就撞車。	考完駕照沒多久，我又買了一輛二手車，結果不到三天就把車撞壞了。
我知。	我知道。
要求同事遵守相關的守則同埋法例	要求同事遵守相關的守則和法例
一杯鴛鴦，唔該。	請給我一杯咖啡加奶茶。
同音	同音的
曚曚光我就要開始做工作。	天剛亮，我就得開始工作了。
世叔同阿爸年紀差唔多，但係我哋完全無代溝。	他和我父親同齡，但我們的友誼沒有代溝。
講真 ， 你會發現 佢哋恐懼嘅跡象	你真的可以看到 ， 他們臉上的震驚 ，
而家我呢個post，成間公司冇咗我唔得𠺢嘛。	我現在這個位置，公司離不開我。
係咪friend先？	我們真的是朋友嗎？
你住乙明邨邊一座？	你住乙明村哪一座？
如果未去過荃灣嘅兆和街就真係要搵個時間去行吓	如果沒去過荃灣的兆和街就真的要找個時間去走一走
咪係嗰個乜嘢乜嘢乜嘢啊，成日乜嘢又，又，又斬到人哋一仆一碌嗰條友呢。嗰條木嘴啊。	就是那個什麼什麼什麼啊，總是什麼又，又，又砍到人家跌跌撞撞那傢伙呢。那根木嘴啊。
主席係林建嶽。而家業務係物業投資、物業發展、酒店同餐廳投資，經營同埋投資控股。	主席為林建嶽。現時業務是物業投資、物業發展、酒店及餐廳投資及經營以及投資控股。
我哋送咗太空船去呢三個行星度	嗯 ， 我們送了幾艘太空船 到這三個行星上 。
當我話 「 大型多人手指公摔角 」	當我說 「 超級多人拇指摔角 」 的時候
留名等睇戲	留名等看電影
呢啲柑兩毫子一斤真抵	這些桔子兩毛錢一斤真便宜
林嶺東（1955年12月8日－2018年12月29日）係香港電影導演、演員。佢擅長拍動作片，代表作包括《龍虎風雲》、《監獄風雲》、《學校風雲》。佢憑《龍虎風雲》攞過香港電影金像獎最佳導演。	林嶺東（1955年12月8日－2018年12月29日），加拿大籍香港電影導演及演員，是導演王天林的門生。他以擅拍動作電影見稱。其作品以「風雲」三部曲（《龍虎風雲》、《監獄風雲》、《學校風雲》）最為聞名，曾以《龍虎風雲》奪得香港電影金像獎最佳導演。
我哋應該抱正確嘅態度。	我們應該採取正確的態度。
對唔住吖，我語氣重咗啲	對不起，我語氣重了點
刀用得耐就蝕	刀用久了就磨損
呢個問題真係傷腦筋。	這是一個相當棘手的問題。
聽日交唔到點算	明天交不了怎麼辦
我哋依家啱啱先開始嘗試搞清楚 我哋應該點樣理解 呢個咁複雜 、 負責信息處理嘅機器 同埋點樣用我哋嘅思想 去了解支持我哋有思想嘅大腦	我們才剛開始試著瞭解 如何研究這個複雜至極的機器 它能進行驚人的訊息處理程序 用我們本身的大腦理解 這個掌控人類心智 、 複雜至極的大腦
甜嘢嘢	甜得發膩
你噉講唔通噃	你這麼說不對
蚊煙香	端午節點的香
佢行過連我枝筆都擸埋	他把我這枝筆也佔有了
雖然我們有多三倍空間 但係我哋比以前更加鍾意購物 使到我哋需要更多嘅地方	我們的空間是多了三倍 , 不過我們變的更愛買東西了 , 反而需要更多空間 ,
我纊跌咗部電腦，之後就開唔返。	我打翻了我的電腦，然後它就無法啟動了。
懶佬鞋	無繫帶的鞋
第一個信號喺要所有人舉起一個四尺長唧字母 拼埋一起就喺 “ 多啲抬頭看 ” 唧英文 依次計劃唧名	第一個信號是讓他們一起舉起這些四英尺高的字母 拼成這個企劃的名字 ： " 多抬頭看一些 "
口同鼻詏	無謂的頂牛
即係翻譯嘅評論喇，喀。噉就會揀一啲誒文學作品喇。噉我揀咗本叫做《天路歷程》嘅書𠸏。	就是翻譯的評論了，喀。這樣就會選擇一點文學文學作品了。那我選擇了本叫做《天路歷程》的書唄。
好不容易坐下	好不容易坐下
嗰啲偷呃拐騙嘅衰神個個都抵打靶！	那些偷盜拐騙的壞傢伙全都該槍斃！
默默付出	默默付出
佢冇得走雞嘅！	他跑不了！
八仙過海各顯神通	八仙過海各顯神通
佢成屋都係爛銅爛鐵，仲話樣樣都好有用。	他家裡堆滿了破舊的金屬製品，他甚至聲稱一切都是有用的。
各位早晨！	大家，早安！
外衣	外套
你睇！你搞到條裙一撻撻咖啡色嘞。	看！ 你弄髒了你的裙子，上面有褐色斑點。
啊媽由細叫我睇路	啊媽從小叫我看路
人人都覺得咁樣做更加合理	大家都認為這很明智
你自己衰都唔好帶壞個仔吖！	即使你自己很卑鄙，也不要毀了你兒子的一生！
刁僑扭擰	刁橫
幾丁	幾乎
可以去睇吖嗎我哋。	可以去看丫嗎我們。
豆沙喉	沙啞的嗓門
牛仔褲	牛仔褲
佢次次輸咗都唔忿氣嘅	他每次輸了都不服氣的
記得帶件薄身啲嘅外套去。	記得隨身帶一件薄外套。
食太多炸嘢會熱氣。	吃太多油炸食物會積聚“內熱”。
香港腳	手足癬
pantry有蛋撻喎。	茶水間裡有一些蛋撻。
哦，我夠要喇。	哦，我夠要了。
俾叔叔抱吓先	先讓叔叔抱一下
computer乜嘢啊？	computer 什麼啊？
學術討論	學術討論
落一落街啫，踢拖得啦。	剛下樓一會兒，穿上拖鞋就好了。
你個modem啫。你條-你嗰條network唔快吖嗎。	你個 modem 而已。你這條 - 你那條 network 不快啊嗎。
你係老細，呢啲嘢叫馬仔做咪得囉？	你是老闆，為什麼不把這些事情交給你的下級員工去做呢？
偷呃拐騙	犯罪活動的統稱
女人形	女里女氣的人
保護弱勢社群	保護弱勢群體
顧全大局	顧全大局
一定要珍惜眼前人同大家一齊既時光	一定要珍惜眼前人跟大家一起既時光
佢衰衰地都係你細佬，你要睇實佢啊。	不管怎麼樣，他都是你的弟弟。 照顧他。
鬧出左唔少笑話，加上嗰啲無厘頭笑料	鬧出了不少笑話，加上那些不合理笑料
佢兩兄弟成日狗咬狗骨。個阿哥成年先去老人院探佢阿媽一次，一時唔偷雞就做保長，話個細佬不孝。	兄弟二人總是吵架。 年長的那個每年只去養老院探望一次他的母親，並且自以為是地稱他的兄弟為忘恩負義。
走堂	走廊
2018年12月29號晏晝4點幾，林嶺東老婆發覺佢喺馬鞍山屋企倒臥牀上。救護員到場後證實林嶺東當場死亡，終年63歲。初步調查死因冇可疑。2019年1月9號喺大圍寶福紀念館福海堂設靈，喪禮以維新儀式進行。	2018年12月29日下午4時許，林嶺東被妻子發現於馬鞍山西沙路533號帝琴灣凱琴居家中倒臥在牀上。救護員到場後證實他當場死亡，初步調查死因沒有可疑，終年63歲；翌年1月9日在大圍寶福紀念館福海堂設靈，喪禮以維新儀式進行。
啲綫繑住咗	綫相互纏住了
淺水灣泳灘已經掛起紅旗。	紅旗在淺水灣飄揚。
一直都覺得自己好似不停打機升Level咁	一直都覺得自己像不停打機升 Level 那樣
四隻dee喺晒你度啦，你咁都笠水唔大佢？識唔識玩㗎你？	你有四個“二”，為什麼你通過了回合而不是玩它們？ 你知道怎麼玩Big 2嗎？
嗰件紅衫最搶眼	那件紅衣裳最顯眼
呢條女啲毒龍鑽功夫認真一流。	這妹子的舔屁股功力絕了。
姨媽同我去沙田宜正里買餸	姨媽跟我去沙田宜正裏買菜
新淨	不舊
心中翻起千尺巨浪	心中翻起千尺巨浪
政府填海造地，並修築街道。	政府在填海土地上修建了道路。
佢有好多錢，所以淨係打風流工。	他有很多錢，所以他只是為了享樂而工作，而不是為了謀生。
商業秘密啊。	商業祕密啊。
最近	最近
天氣預報講聽日會翻風落雨	天氣預報說明天會颳風下雨
邊個住喺深水埗海柏匯	誰住在深水埗海柏匯
起初因為意志消沉而不斷整蠱佢	起初因爲意志消沉而不斷作弄他
我嘥咗太多時間喺前面啲題目度，結果做唔晒份卷。	一開始我花太多時間在問題上。 結果，我沒有做完試卷。
雖然我嘅家庭一直處於貧困狀態 但係我仲係得到屋企人對我嘅關愛 因為我係家中唯一嘅男丁 亦係兩個細路當中細嗰個	雖然我的家庭離不開貧窮 但我仍然備受關愛 ， 因為我是家中的獨子 也是兩個孩子中最小的 。
唔戴翻頂帽，光住個頭唔凍咩？	不戴個帽子，裸露著腦袋不冷嗎？
流浪貓喺藍田碧雲道嘅垃圾桶搵野食	流浪貓在藍田碧雲道的垃圾桶找東西喫
隻手錶𢱕咗落地	手錶掉在地上
打蛋係入廚嘅基本功。	攪打雞蛋是一項基本的烹飪技巧。
一步一個腳印	一步一個腳印
呢件事我唔會就噉算數，你睇住嚟！	我不會就這樣放過這個問題。 你最好小心點！
糊塗蟲	一個糊塗的人
閒事莫理，眾埞莫企	不干涉別人的事
